TABLE 1 - MODELS SCOUTED
"Make","Model","Trim","MSRP","Freight+PDI+AC","Advertised","Dealer admin","OUT THE DOOR","Rate %","Rate source","Term mo","Down","Monthly","Dep %/yr","L/100km","Notes"
"Lexus","TX 350","Luxury (base pkg)","69855","2305","72160","2334","84373","2.9","QUOTED - Lexus on the Park finance worksheet 2026-09-02, 'special rate', 60 mo","60","15000","1243.47","8","11.5","Their worksheet totals $86,611 OTD: sell $73,258 (Lexus Canada 'from' price, freight already in) + $870 freight AGAIN + $2,334 dealer fees. About $2.7K above this row. Ask why freight is charged twice."
"Lexus","TX 350","Ultra Luxury","72608","2305","74913","2334","87484","2.9","QUOTED - same rate applies to all new TX 350","60","15000","1299.23","8","11.5","Ultra Luxury = +$2,753 over Luxury. Advertised $74,913 matches 4 live listings."
"Lexus","TX 350","Executive 7-Pass","80861","2305","83166","2334","96810","2.9","QUOTED - finance; lease worksheet showed 1.9%/48 with $4,200 off","60","15000","1466.39","8","11.5","Executive = +$11,006 over Luxury. Lease sheet: $939/mo, 24,000 km/yr, residual 42%."
"Lexus","TX 500h","F SPORT Performance 2","85400","2305","87705","2334","101939","5.5","PUBLISHED - Don Valley North Lexus, 60 mo (lease 5.9%/24, Lexus Canada 6.7%/48)","60","15000","1660.64","8","8.6","Only 2 new 500h in Ontario ($90,225 / $93,704 - both ABOVE the $87,705 sticker). 366 hp."
"Toyota","Grand Highlander","HYBRID XLE (2.5L NA)","56632","2030","58662","495","67043","6.99","ASSUMED = Toyota Canada published LEASE rate 6.99%/60; finance rate NOT obtained","60","15000","1030.26","8","6.8","Toyota Canada all-in FROM $58,661.92. The 10-year-hold pick. NOT the turbo."
"Toyota","Grand Highlander","HYBRID Limited (2.5L NA)","63967","2030","65997","495","75331","6.99","ASSUMED - see above","60","15000","1194.34","8","6.8","Toyota Canada all-in FROM $65,996.92."
"Toyota","Grand Highlander","Platinum HYBRID MAX (2.4 TURBO)","68227","2030","70257","495","80145","6.99","ASSUMED - see above","60","15000","1289.64","8","8.6","Toyota Canada all-in FROM $70,256.92. Turbo - reintroduces the failure modes you are avoiding."
"Toyota","Grand Highlander","XLE (gas 2.4T)","53232","2030","55262","495","63201","6.99","ASSUMED - see above","60","15000","954.2","8","9.5","Toyota Canada all-in FROM $55,261.92."
"Toyota","Highlander","HYBRID XLE (2.5L NA)","","","61687","495","70461","6.99","ASSUMED - finance rate not obtained","60","15000","1097.93","8","6.7","Factory-order listing price; official MSRP not pulled. Smaller 3rd row than Grand Highlander."
"Toyota","Highlander","HYBRID Limited (2.5L NA)","","","67067","495","76540","6.99","ASSUMED - finance rate not obtained","60","15000","1218.28","8","6.7","Factory-order listing price."
"Hyundai","Palisade Hybrid","Ultimate Calligraphy (2.5T hybrid), 2027","","","69099","495","78836","6.99","NOT OBTAINED - assumed 6.99%; ask Hamilton Hyundai","60","15000","1263.74","10","8.1","329 hp / 339 lb-ft. Brown Nappa interior: 2 confirmed in Ontario, both Hamilton Hyundai, ETA late Oct."
"Hyundai","Palisade Hybrid","Ultimate Calligraphy, 2026 (new, last year's MY)","","","66976","495","76437","6.99","NOT OBTAINED - assumed 6.99%","60","15000","1216.24","10","8.1","Silver, 25 km, listed at MSRP. $2,123 under the 2027."
"Hyundai","Palisade","Ultimate Calligraphy (gas 3.8 V6)","","","","495","","","not priced new in this scan","","15000","","10","11.9","Scouted USED only (Clutch). Oil-consumption + transmission risk at high km."
"Genesis","GV80","3.5T Prestige 7-Pass","","","96888","1540","111419","2.99","SEEN on a Genesis Yorkdale listing ('as low as 2.99%') - CPO car; CONFIRM for new","60","15000","1732.09","15","11.5","Lowest-km franchise 2026 observed; official MSRP not verified. WORST depreciation measured (15%/yr top trim)."
"Mitsubishi","Outlander PHEV","SEL","59823","0","55573","495","63552","6.99","NOT OBTAINED - assumed 6.99%","60","15000","961.16","18","3.2","MSRP printed on listing; $4,250 off. 72 km EV range; 8.6 L/100km once flat. 10yr/160,000km powertrain."
"Mitsubishi","Outlander PHEV","GT","63423","0","59173","495","67620","6.99","NOT OBTAINED - assumed 6.99%","60","15000","1041.69","18","3.2","$4,250 off MSRP. Best warranty in this set."
"Mitsubishi","Outlander PHEV","GT Premium","64523","0","60273","495","68863","6.99","NOT OBTAINED - assumed 6.99%","60","15000","1066.3","18","3.2","297 hp, massage seats, semi-aniline (black only)."
"Tesla","Model Y","Long Range AWD (new)","","","64990","0","73634","6.99","NOT OBTAINED - Tesla finance; assumed 6.99%","60","15000","1160.74","14","","Tesla configurator, gas-savings box UNCHECKED. 5 SEATS. FSD is $99/mo subscription only since 2026-02-14."
"Volvo","XC90","B6 Ultra","","","","495","","","scouted USED only","","15000","","11","10.4","4yr/80,000km warranty = 1.9 yr at your mileage. Highest maintenance here (~$1,248/yr)."
"Porsche","Macan","base 2.0T / S","","","","495","","","scouted USED only (Porsche Approved)","","15000","","11","11.2","9 service visits in 5 yr at your mileage; 5 seats."


TABLE 2 - LIVE INVENTORY (103 vehicles)
"Make","Model","Trim","Year","Asking","MSRP","MSRP source","Odometer km","Status","Seller","Link","Scan"
"Genesis","GV80","3.5T Prestige 7P, BLUE ON BROWN","2026","89999","85000","Genesis Canada 2021 launch MSRP, 3.5T Prestige (later MY higher)","2221","independent / 7 seats / blue / VERIFY BEFORE YOU GO","Peninsula Automotive, Burlington","https://www.autotrader.ca/offers/genesis-gv80-3-5t-prestige-7-passenger-blue-on-brown-gasoline-blue-cat_ma51885gr200589va3473mt14077tr481244-d560f112-cc57-4b33-bdea-dd66daf60e1b","Genesis scan 09-01"
"Genesis","GV80","Black Edition 7P","2026","92995","80000","Genesis Canada 2021 launch MSRP, 3.5T Advanced","4463","franchise / 7 seats / black","Genesis Kitchener Waterloo","https://www.autotrader.ca/offers/genesis-gv80-black-edition-7-passenger-one-owner-near-new-gasoline-black-cat_ma51885gr200589va3473mt14077tr481250-aa2aee85-bd30-4430-a6da-a6111678fda2","Genesis scan 09-01"
"Hyundai","Palisade","Essential","2022","26290","41199","Hyundai Canada 2021 MSRP, Essential AWD","99408","Clutch.ca - no doc/admin fees / 7 seats / NOT premium / no pano","Clutch.ca","https://www.clutch.ca/vehicles/115325","Clutch.ca scan 09-01"
"Hyundai","Palisade","Preferred 8-Pass","2022","27790","46199","Hyundai Canada 2021 MSRP, Preferred","90218","Clutch.ca - no doc/admin fees / 8 seats / NOT premium / no pano","Clutch.ca","https://www.clutch.ca/vehicles/125668","Clutch.ca scan 09-01"
"Hyundai","Palisade","Luxury 7-Pass","2022","34290","50899","Hyundai Canada 2021 MSRP, Luxury 7-Pass","60000","Clutch.ca - no doc/admin fees / 7 seats / NOT premium / pano","Clutch.ca","https://www.clutch.ca/vehicles/122156","Clutch.ca scan 09-01"
"Hyundai","Palisade","Ultimate Calligraphy","2022","34590","54699","Hyundai Canada 2021 MSRP, Ultimate Calligraphy (Urban = Calligraphy-based)","97500","Clutch.ca - no doc/admin fees / 7 seats / premium trim / pano","Clutch.ca","https://www.clutch.ca/vehicles/124294","Clutch.ca scan 09-01"
"Hyundai","Palisade","Ultimate Calligraphy","2022","35290","54699","Hyundai Canada 2021 MSRP, Ultimate Calligraphy (Urban = Calligraphy-based)","49869","Clutch.ca - no doc/admin fees / 7 seats / premium trim / pano","Clutch.ca","https://www.clutch.ca/vehicles/105130","Clutch.ca scan 09-01"
"Hyundai","Palisade","Ultimate Calligraphy 7-Pass","2023","37290","54699","Hyundai Canada 2021 MSRP, Ultimate Calligraphy (Urban = Calligraphy-based)","76596","Clutch.ca - no doc/admin fees / 7 seats / premium trim / pano","Clutch.ca","https://www.clutch.ca/vehicles/119257","Clutch.ca scan 09-01"
"Hyundai","Palisade","Ultimate Calligraphy","2022","38790","54699","Hyundai Canada 2021 MSRP, Ultimate Calligraphy (Urban = Calligraphy-based)","44700","Clutch.ca - no doc/admin fees / 7 seats / premium trim / pano","Clutch.ca","https://www.clutch.ca/vehicles/124480","Clutch.ca scan 09-01"
"Hyundai","Palisade","Urban 8-Pass","2023","38990","54699","Hyundai Canada 2021 MSRP, Ultimate Calligraphy (Urban = Calligraphy-based)","74360","Clutch.ca - no doc/admin fees / 8 seats / premium trim / pano","Clutch.ca","https://www.clutch.ca/vehicles/107167","Clutch.ca scan 09-01"
"Hyundai","Palisade","Urban 7-Pass","2023","39190","54699","Hyundai Canada 2021 MSRP, Ultimate Calligraphy (Urban = Calligraphy-based)","63787","Clutch.ca - no doc/admin fees / 7 seats / premium trim / pano","Clutch.ca","https://www.clutch.ca/vehicles/115494","Clutch.ca scan 09-01"
"Hyundai","Palisade","Ultimate Calligraphy","2022","39790","54699","Hyundai Canada 2021 MSRP, Ultimate Calligraphy (Urban = Calligraphy-based)","26587","Clutch.ca - no doc/admin fees / 7 seats / premium trim / pano","Clutch.ca","https://www.clutch.ca/vehicles/120477","Clutch.ca scan 09-01"
"Hyundai","Palisade","Ultimate Calligraphy 7-Pass","2024","40690","54699","Hyundai Canada 2021 MSRP, Ultimate Calligraphy (Urban = Calligraphy-based)","95731","Clutch.ca - no doc/admin fees / 7 seats / premium trim / pano","Clutch.ca","https://www.clutch.ca/vehicles/116232","Clutch.ca scan 09-01"
"Hyundai","Palisade","Ultimate Calligraphy 7-Pass","2024","42790","54699","Hyundai Canada 2021 MSRP, Ultimate Calligraphy (Urban = Calligraphy-based)","76723","Clutch.ca - no doc/admin fees / 7 seats / premium trim / pano","Clutch.ca","https://www.clutch.ca/vehicles/121535","Clutch.ca scan 09-01"
"Hyundai","Palisade","Ultimate Calligraphy 7-Pass","2023","43490","54699","Hyundai Canada 2021 MSRP, Ultimate Calligraphy (Urban = Calligraphy-based)","42172","Clutch.ca - no doc/admin fees / 7 seats / premium trim / pano","Clutch.ca","https://www.clutch.ca/vehicles/120113","Clutch.ca scan 09-01"
"Hyundai","Palisade","Ultimate Calligraphy 7-Pass","2024","44190","54699","Hyundai Canada 2021 MSRP, Ultimate Calligraphy (Urban = Calligraphy-based)","39349","Clutch.ca - no doc/admin fees / 7 seats / premium trim / pano","Clutch.ca","https://www.clutch.ca/vehicles/118256","Clutch.ca scan 09-01"
"Hyundai","Palisade","Ultimate Calligraphy Night 7-Pass","2025","47590","54699","Hyundai Canada 2021 MSRP, Ultimate Calligraphy (Urban = Calligraphy-based)","49000","Clutch.ca - no doc/admin fees / 7 seats / premium trim / pano","Clutch.ca","https://www.clutch.ca/vehicles/122085","Clutch.ca scan 09-01"
"Hyundai","Palisade","Ultimate Calligraphy 7-Pass","2024","47604","54699","Hyundai Canada 2021 MSRP, Ultimate Calligraphy (Urban = Calligraphy-based)","30600","Clutch.ca - no doc/admin fees / 7 seats / premium trim / pano","Clutch.ca","https://www.clutch.ca/vehicles/125412","Clutch.ca scan 09-01"
"Hyundai","Palisade","Ultimate Calligraphy","2026","56990","54699","Hyundai Canada 2021 MSRP, Ultimate Calligraphy (Urban = Calligraphy-based)","21660","Clutch.ca - no doc/admin fees / 7 seats / premium trim / pano","Clutch.ca","https://www.clutch.ca/vehicles/119718","Clutch.ca scan 09-01"
"Hyundai","Palisade Hybrid","Ultimate Calligraphy NHL Special Ed (demo)","2026","65699","","not shown","14224","used / white","","https://www.autotrader.ca/offers/hyundai-palisade-ultimate-calligraphy-nhl-special-ed-demo-gas-electric-hybrid-white-cat_ma33gr76553va2840tr11571-7cf4c3e7-18ad-40c1-a8bc-dbe4daa731b3","Palisade Hybrid scan 09-01"
"Hyundai","Palisade Hybrid","Ultimate Calligraphy","2026","66976","66976","printed on the AutoTrader card","25","NEW / silver","","https://www.autotrader.ca/offers/hyundai-palisade-ultimate-calligraphy-gas-electric-hybrid-silver-cat_ma33gr76553va2840tr11571-b46eafef-b189-4bcd-bbc3-2a0b8859cba7","Palisade Hybrid scan 09-01"
"Hyundai","Palisade Hybrid","Ultimate Calligraphy AWD (previous FIFA demo)","2026","67988","","not shown","1033","used / white","","https://www.autotrader.ca/offers/hyundai-palisade-ultimate-calligraphy-awd-previous-fifa-demo-gas-electric-hybrid-white-cat_ma33gr76553va2840tr11571-6f2cb7fa-dbda-43a2-99a0-f6164af7aa82","Palisade Hybrid scan 09-01"
"Hyundai","Palisade Hybrid","Ultimate Calligraphy","2026","67990","69990","printed on the AutoTrader card","16","NEW / black","","https://www.autotrader.ca/offers/hyundai-palisade-ultimate-calligraphy-gas-electric-hybrid-black-cat_ma33gr76553va2840tr11571-2ea6c2f2-5433-44c4-b647-399d88bede45","Palisade Hybrid scan 09-01"
"Hyundai","Palisade Hybrid","Ultimate Calligraphy","2026","68199","68199","printed on the AutoTrader card","50","NEW / white","","https://www.autotrader.ca/offers/hyundai-palisade-ultimate-calligraphy-gas-electric-hybrid-white-cat_ma33gr76553va2840tr11571-b578f42e-9e94-4f2c-9cb1-a2a7153c4c4d","Palisade Hybrid scan 09-01"
"Hyundai","Palisade Hybrid","Ultimate Calligraphy","2026","68549","68549","printed on the AutoTrader card","11","NEW / black","","https://www.autotrader.ca/offers/hyundai-palisade-ultimate-calligraphy-gas-electric-hybrid-black-cat_ma33gr76553va2840tr11571-eb22b594-5c15-4328-8c98-0d8a6502552d","Palisade Hybrid scan 09-01"
"Hyundai","Palisade Hybrid","Ultimate Calligraphy","2026","68549","68549","printed on the AutoTrader card","75","NEW","","https://www.autotrader.ca/offers/hyundai-palisade-ultimate-calligraphy-gas-electric-hybrid-cat_ma33gr76553va2840tr11571-775a7f3b-4bdc-4cf8-9405-493aefa04168","Palisade Hybrid scan 09-01"
"Hyundai","Palisade Hybrid","Ultimate Calligraphy AWD","2027","69099","69099","printed on the AutoTrader card","99","NEW / black","","https://www.autotrader.ca/offers/hyundai-palisade-ultimate-calligraphy-awd-gas-electric-hybrid-black-cat_ma33gr76553va2840-571a26fd-908d-43bd-bad1-e5be15897be2","Palisade Hybrid scan 09-01"
"Hyundai","Palisade Hybrid","Ultimate Calligraphy AWD","2027","69099","69099","printed on the AutoTrader card","59","NEW / grey","","https://www.autotrader.ca/offers/hyundai-palisade-ultimate-calligraphy-awd-gas-electric-hybrid-grey-cat_ma33gr76553va2840-b320386b-9825-4b92-9889-97bc52ef126d","Palisade Hybrid scan 09-01"
"Lexus","TX 350","Luxury","2024","58888","72160","current-MY equivalent: $69,855 Luxury + $2,305 (Lexus of Vaughan)","49344","used / grey","Ontario Lexus dealer","https://www.autotrader.ca/offers/lexus-tx-tx-350-luxury-gasoline-grey-cat_ma43gr202144mt12047tr478970-8a14d8cf-85d1-4d23-8dfd-584d40a35810","Lexus TX scan 09-02"
"Lexus","TX 350","Luxury","2024","61995","72160","current-MY equivalent: $69,855 Luxury + $2,305 (Lexus of Vaughan)","32000","used / black","Ontario Lexus dealer","https://www.autotrader.ca/offers/lexus-tx-luxury-gasoline-black-cat_ma43gr202144mt12047tr478970-27cd1e74-cb7b-4a04-972d-17d12237d9d5","Lexus TX scan 09-02"
"Lexus","TX 350","Luxury + pano","2024","63588","72160","current-MY equivalent: $69,855 Luxury + $2,305 (Lexus of Vaughan)","21531","used / n/a","Ontario Lexus dealer","https://www.autotrader.ca/offers/lexus-tx-luxury-panoroof-gasoline-cat_ma43gr202144mt12047tr478970-d0f39fcf-39b3-458d-9db5-a6f13550b011","Lexus TX scan 09-02"
"Lexus","TX 350","Ultra Luxury","2024","63688","74913","current-MY equivalent: $69,855 + $2,753 Ultra + $2,305 (matches 4 live listings)","35415","used / Lexus Certified / black","Ontario Lexus dealer","https://www.autotrader.ca/offers/lexus-tx-ultra-luxury-pkg-7passenger-heated-leather-seats-c-gasoline-black-cat_ma43gr202144mt12047tr478970-e5d98476-b7a6-4e89-acf4-395e7c2aa3a2","Lexus TX scan 09-02"
"Lexus","TX 350","Ultra Luxury 7-Pass","2025","63800","74913","current-MY equivalent: $69,855 + $2,753 Ultra + $2,305 (matches 4 live listings)","66623","used / Lexus Certified / white","Ontario Lexus dealer","https://www.autotrader.ca/offers/lexus-tx-ultra-luxury-7-passenger-gasoline-white-cat_ma43gr202144mt12047-2207ea80-52b1-4aeb-bb9f-440bb01137b3","Lexus TX scan 09-02"
"Lexus","TX 350","Luxury + cooled seats","2025","66666","72160","current-MY equivalent: $69,855 Luxury + $2,305 (Lexus of Vaughan)","31981","used / Lexus Certified / black","Ontario Lexus dealer","https://www.autotrader.ca/offers/lexus-tx-luxury-package-cooling-seats-gasoline-black-cat_ma43gr202144mt12047-af460857-ec71-425e-8e6d-ea67b9fbc1d8","Lexus TX scan 09-02"
"Lexus","TX 350","Ultra Luxury","2024","66900","74913","current-MY equivalent: $69,855 + $2,753 Ultra + $2,305 (matches 4 live listings)","25022","used / Lexus Certified / Cloudburst Grey","Lexus on the Park, Toronto","https://www.autotrader.ca/offers/lexus-tx-350-ultra-luxury-pkg-lexus-certified-awd-gasoline-grey-cat_ma43gr202144mt12047tr478970-38227ac6-5f6c-4510-bf55-42c10651619d","Lexus TX scan 09-02"
"Lexus","TX 350","Ultra Luxury (DEMO)","2026","70588","74913","current-MY equivalent: $69,855 + $2,753 Ultra + $2,305 (matches 4 live listings)","11","used / red","Don Valley North Lexus, Markham","https://www.autotrader.ca/offers/lexus-tx-tx-350-awd-gasoline-red-cat_ma43gr202144mt12047-6b88a4c5-a418-412f-a10a-04920b336aeb","Lexus TX scan 09-02"
"Lexus","TX 350","Luxury","2026","71809","72160","current-MY equivalent: $69,855 Luxury + $2,305 (Lexus of Vaughan)","74","NEW / silver","Don Valley North Lexus, Markham","https://www.autotrader.ca/offers/lexus-tx-tx-350-gasoline-silver-cat_ma43gr202144-5ee974a2-cd05-4826-868f-357c535776f5","Lexus TX scan 09-02"
